# Pages that could carry a price and do not have one yet.
#
# Every row here is a page with a Product node in its JSON-LD but no offers
# block, because docs/build-prices.mjs strips offers from any page absent from
# prices.csv. So each row is a page currently eligible for no rich result.
#
# THIS FILE IS A QUEUE, NOT A SOURCE OF TRUTH. Nothing reads it at build time.
# prices.csv is still the only file that sets a published price.
#
# To price a page, fill in low_inr and high_inr on its row - and low_usd and
# high_usd, which the page shows as indicative only and are optional - then:
#
#   node docs/build-price-worklist.mjs --adopt   moves filled rows to prices.csv
#   node docs/build-prices.mjs                   writes them into the pages
#
# Adopted rows leave this file on the next refresh; rows left empty stay. Do not
# edit the url column: it is regenerated from the source tree, and a URL that
# matches no page is refused rather than adopted.
#
# Update the "# updated:" date in prices.csv when you finish a pricing pass.
# priceValidUntil is derived from it, so a price adopted into a stale file is
# published already expired.
#
# generated: 2026-08-20 by docs/build-price-worklist.mjs
# pending: 451 page(s)

url,low_inr,high_inr,low_usd,high_usd,unit
# /incoloy-...  (10)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy-330-800-foil-supplier-trader-stockist-exporter-in-mumbai-india/,,,,,kg
/incoloy-800H-800HT-foil-supplier-stockist-trader-exporter-in-mumbai-india/,,,,,kg
/incoloy-825-890-903-909-foil-supplier-exporter/,,,,,kg
/incoloy-coil-supplier-exporter-mumbai-india/,,,,,kg
/incoloy-fittings-supplier-exporter-mumbai-india/,,,,,kg
/incoloy-hex-bars-supplier-exporter-mumbai-india/,,,,,kg
/incoloy-hollow-bars-supplier-exporter-mumbai-india/,,,,,kg
/incoloy-pipes-supplier-exporter-mumbai-india/,,,,,kg
/incoloy-tube-supplier-exporter-mumbai-india/,,,,,kg
/incoloy-wire-supplier-exporter-mumbai-india/,,,,,kg

# /incoloy/  (4)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy/foil/,,,,,kg
/incoloy/plates/,,,,,kg
/incoloy/round-bar/,,,,,kg
/incoloy/sheets/,,,,,kg

# /incoloy/330/  (2)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy/330/round-bar/,,,,,kg
/incoloy/330/sheets/,,,,,kg

# /incoloy/800H/  (2)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy/800H/round-bar/,,,,,kg
/incoloy/800H/sheets/,,,,,kg

# /incoloy/800HT/  (2)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy/800HT/round-bar/,,,,,kg
/incoloy/800HT/sheets/,,,,,kg

# /incoloy/890/  (2)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy/890/round-bar/,,,,,kg
/incoloy/890/sheets/,,,,,kg

# /incoloy/903/  (2)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy/903/round-bar/,,,,,kg
/incoloy/903/sheets/,,,,,kg

# /incoloy/909/  (2)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy/909/round-bar/,,,,,kg
/incoloy/909/sheets/,,,,,kg

# /incoloy/925/  (1)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy/925/round-bar/,,,,,kg

# /incoloy/945/  (1)  |  incoloy priced on 13 page(s) at INR 1,500-12,000 per kg
/incoloy/945/round-bar/,,,,,kg

# /inconel-...  (11)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel-600-601-617-foil-supplier-exporter-in-mumbai-india/,,,,,kg
/inconel-602-CA-X-750-foil-supplier-exporters/,,,,,kg
/inconel-625-625-LCF-foil-supplier-trader-stockist-exporter/,,,,,kg
/inconel-660-686-690-693-718-foil-supplier-exporter-in-mumbai-india/,,,,,kg
/inconel-coil-supplier-exporter-mumbai-india/,,,,,kg
/inconel-fittings-supplier-exporter-mumbai-india/,,,,,kg
/inconel-hex-bars-supplier-exporter-mumbai-india/,,,,,kg
/inconel-hollow-bars-supplier-exporter-mumbai-india/,,,,,kg
/inconel-pipes-supplier-exporter-mumbai-india/,,,,,kg
/inconel-tube-supplier-exporter-mumbai-india/,,,,,kg
/inconel-wire-supplier-exporter-mumbai-india/,,,,,kg

# /inconel/  (3)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/foil/,,,,,kg
/inconel/plates/,,,,,kg
/inconel/sheets/,,,,,kg

# /inconel/600/  (4)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/600/coil/,,,,,kg
/inconel/600/fittings/,,,,,kg
/inconel/600/pipe/,,,,,kg
/inconel/600/tube/,,,,,kg

# /inconel/601/  (8)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/601/coil/,,,,,kg
/inconel/601/fittings/,,,,,kg
/inconel/601/pipe/,,,,,kg
/inconel/601/plates/,,,,,kg
/inconel/601/round-bar/,,,,,kg
/inconel/601/sheets/,,,,,kg
/inconel/601/tube/,,,,,kg
/inconel/601/wire/,,,,,kg

# /inconel/602-CA/  (8)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/602-CA/coil/,,,,,kg
/inconel/602-CA/fittings/,,,,,kg
/inconel/602-CA/pipe/,,,,,kg
/inconel/602-CA/plates/,,,,,kg
/inconel/602-CA/round-bar/,,,,,kg
/inconel/602-CA/sheets/,,,,,kg
/inconel/602-CA/tube/,,,,,kg
/inconel/602-CA/wire/,,,,,kg

# /inconel/617/  (8)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/617/coil/,,,,,kg
/inconel/617/fittings/,,,,,kg
/inconel/617/pipe/,,,,,kg
/inconel/617/plates/,,,,,kg
/inconel/617/round-bar/,,,,,kg
/inconel/617/sheets/,,,,,kg
/inconel/617/tube/,,,,,kg
/inconel/617/wire/,,,,,kg

# /inconel/625-LCF/  (2)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/625-LCF/plates/,,,,,kg
/inconel/625-LCF/round-bar/,,,,,kg

# /inconel/625/  (5)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/625/coil/,,,,,kg
/inconel/625/fittings/,,,,,kg
/inconel/625/pipe/,,,,,kg
/inconel/625/powder/,,,,,kg
/inconel/625/tube/,,,,,kg

# /inconel/625LCF/  (1)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/625LCF/,,,,,kg

# /inconel/660/  (3)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
